LogOfAreas,Log_X_Index,Outside_X_Index,Pixels_Areas,X_Perimeter,Sum_of_Luminosity,Length_of_Conveyer,SigmoidOfAreas,Minimum_of_Luminosity,Edges_Index,Fault_Type
2.1703,1.1139,0.0077,148,17,14538,1654,0.3097,52,0.4599,Pastry
2.301,1.301,0.0147,200,43,16361,1372,0.8705,102,0.2132,Other_faults
2.1399,1.0792,0.0089,138,14,14904,1358,0.3601,84,0.6166,Pastry
3.5034,1.7243,0.0301,3187,208,301138,1352,1.0,104,0.1195,Z_Scratch
1.2787,0.8451,0.0041,19,7,2246,1358,0.1551,123,0.7528,Stains
1.4624,1.2305,0.0125,29,22,3489,1360,0.1734,105,0.9808,Stains
2.1903,1.1761,0.0089,155,19,15951,1374,0.3977,84,0.0872,Z_Scratch
2.0828,1.2305,0.0111,121,26,15526,1372,0.3945,118,0.5202,Healthy
1.0792,0.8451,0.005,12,8,1333,1358,0.1262,102,0.7894,Stains
2.0374,1.1139,0.0096,109,34,13352,1362,0.3663,113,0.8331,Dirtiness
2.2504,0.9542,0.0054,178,17,17707,1666,0.3882,69,0.0325,Pastry
1.415,0.7782,0.0044,26,8,3431,1356,0.1449,104,0.6451,Stains
1.9243,1.0792,0.0071,84,14,8166,1690,0.2432,101,0.8969,Bumps
2.2648,1.1461,0.0103,184,23,19762,1648,0.463,104,0.223,Bumps
2.1644,1.2305,0.0103,146,26,14121,1364,0.5659,85,0.2183,Z_Scratch
2.0334,1.1139,0.0079,108,14,11169,1387,0.2739,195,0.5235,K_Scatch
1.716,0.9031,0.0047,52,9,7658,1687,0.14,125,0.8118,Healthy
2.2648,1.1139,0.0096,185,23,16308,1364,0.4366,89,0.0251,Other_faults
3.2951,2.1761,0.1103,1973,179,240091,1360,1.0,101,0.4275,Bumps
3.7989,2.248,0.1303,6280,288,654471,1356,1.0,43,0.0575,K_Scatch
1.2305,0.6021,0.003,17,4,2127,1358,0.1322,114,0.8809,Stains
1.7482,0.9542,0.0066,56,10,6735,1358,0.1773,95,0.0443,Bumps
2.6021,1.5315,0.0209,400,57,45673,1362,0.8756,107,0.1359,Z_Scratch
1.7924,1.0792,0.0073,62,19,6819,1646,0.2195,102,0.9765,Healthy
2.6656,0.9031,0.0059,460,12,7168,1364,0.8183,97,0.9135,Dirtiness
2.0414,1.2305,0.0103,110,18,11890,1692,0.2914,95,0.2817,Bumps
2.842,1.5051,0.0236,699,83,61753,1360,0.9905,113,0.9164,Healthy
3.6144,2.1584,0.1059,4115,191,470618,1402,1.0,100,0.0556,K_Scatch
1.9191,1.0792,0.0088,83,14,9452,1360,0.2901,101,0.3808,Stains
3.7733,2.1847,0.1127,5757,214,600689,1358,1.0,47,0.0574,K_Scatch
2.9671,1.4314,0.0193,935,134,121633,1394,1.0,101,0.9076,Dirtiness
2.6702,1.0414,0.0081,468,65,53536,1387,0.9806,123,0.6426,Dirtiness
